 Sort character strings:
        1 pAkAfrPkAjBawBWm9YLayMevRAk7IZeMJv6xhQAaszOMaDgXAI 1tRBQA4G6tW11T6YXqGiAFtUZkug4Ax2AfAbv4zA0AXAXrGXjv 1tRBQA4G6tW11T6YXqGiAFtUZkug4Ax2AfAbv4zA0AXAXrGXjv
        2 cahSJAXlJmozbdAw5yd5KAauYyZSmdNyzmsAaaJhaAH1Lup7Fd 3HMU54jaxiGhaAQAh3kAEoURTPyj6hBlagmfaaLaE3RaAAm3wj 3HMU54jaxiGhaAQAh3kAEoURTPyj6hBlagmfaaLaE3RaAAm3wj
        3 CavukWjk2h1S21tRSqVoaVe1nyRCq5IwZo9MGaqIBNAkgosCa7 4MlJoOaJBJvHDEANgAVd0a6L7AannIOQlAvU3GnaSmJrluWfAE 4MlJoOaJBJvHDEANgAVd0a6L7AannIOQlAvU3GnaSmJrluWfAE
        4 l8a42NqREAH2Av3DX8s8ZVL6hIaknuazegaxS6AAPF8G9qAui0 5fakAatWDkTAx5FlVaquHeraMLawCnAHOYwBD96arj1e9Aa4aa 5fakAatWDkTAx5FlVaquHeraMLawCnAHOYwBD96arj1e9Aa4aa
        5 A8AH7UyGIqV8aJCAnAAnFlOBxa7aZEPAiZWc5FYIjaExap0xhA 5jEZwjHNnaYERZGvw1YC61kAeqSaaRfBtZtgWxfaRZA39HcsAO 5jEZwjHNnaYERZGvw1YC61kAeqSaaRfBtZtgWxfaRZA39HcsAO
        6 hwPh9Mr1MHYpGWaaMA5OELb8af6uwWiwAuxvfSWa9fC1aAJwDE 6t8GAhmLmtETjBbaT8AAa77aBeYl9baaGsaPq99AZaXjAAyAus 6t8GAhmLmtETjBbaT8AAa77aBeYl9baaGsaPq99AZaXjAAyAus
        7 cKnaa2YHOWJKLDjZhaWnuV3sZ6aFszyO3txnAxalb8yKymORAZ 7cgjatTxX4llyDaaHhF8U9i1mxFD3AHg1saxeA1EAArfAiEfAh 7cgjatTxX4llyDaaHhF8U9i1mxFD3AHg1saxeA1EAArfAiEfAh
        8 996P8i5p5Xge9M4CRfwXAjsPgaopoxR6bhSpqbi2Wv1bgt3xXl 8aaeOXeicZdXepGdx9laA77ahbdqwemOPAUN16FuKPIAPsA9gt 8aaeOXeicZdXepGdx9laA77ahbdqwemOPAUN16FuKPIAPsA9gt
        9 AqAAEe4nSabTbJqAoYP719S16lxOITBaA41PZYAOaDc1JnMC7a 92HnkAz4qegGNyhAgktNmuIyMAa47a38fm2fBQtF3U582GaAah 92HnkAz4qegGNyhAgktNmuIyMAa47a38fm2fBQtF3U582GaAah
       10 ZQATMBAia9n8jEwKA5yRAZ85aE8oeXgS1AAYaoaAaBuyaWaASw 996P8i5p5Xge9M4CRfwXAjsPgaopoxR6bhSpqbi2Wv1bgt3xXl 996P8i5p5Xge9M4CRfwXAjsPgaopoxR6bhSpqbi2Wv1bgt3xXl
